trailer_title,url,imdb_id,year,rating,votes,genre
CAPTAIN BLOOD trailer,https://archive.org/download/CaptainBloodTrailer/CaptainBloodTrailer.mp4,0026174,1935,7.7,12879.0,Action|Adventure
THE LIVES OF A BENGAL LANCER Trailer,https://archive.org/download/THELIVESOFABENGALLANCERTrailer/THE LIVES OF A BENGAL LANCER trailer.mp4,0026643,1935,7.1,2595.0,Adventure|Drama|War
MUTINY ON THE BOUNTY 1935 trailer,https://archive.org/download/MutinyOnTheBounty1935Trailer/MutinyOnTheBounty1935Trailer.mp4,0026752,1935,7.7,20655.0,Adventure|Biography|Drama|History|Romance
THE 39 STEPS trailer,https://archive.org/download/The39StepsTrailer/The39StepsTrailer.mp4,0026029,1915,7.6,51368.0,Mystery|Thriller
THE BRIDE OF FRANKENSTEIN 1935 trailer,https://archive.org/download/TheBrideOfFrankenstein1935Trailer/TheBrideOfFrankensteinTrailer.mp4,0026138,1935,7.8,43186.0,Drama|Horror|Sci-Fi
HARD TO HANDLE trailer,https://archive.org/download/HardToHandleTrailer/HardToHandleTrailer.mp4,0026914,1935,6.4,1055.0,Drama|Musical|Comedy
A NIGHT AT THE OPERA trailer,https://archive.org/download/ANightAtTheOperaTrailer/ANightAtTheOperaTrailer.mp4,0026778,1935,7.9,30318.0,Comedy|Music|Musical
WEREWOLF OF LONDON trailer,https://archive.org/download/WerewolfOfLondonTrailer/WerewolfOfLondonTrailer.mp4,0027194,1935,6.4,4912.0,Drama|Fantasy|Horror
THEODORA GOES WILD trailer,https://archive.org/download/TheodoraGoesWildTrailer/TheodoraGoesWildTrailer.mp4,0028355,1936,7.2,2123.0,Comedy|Romance
BULLETS OR BALLOTS trailer,https://archive.org/download/BulletsOrBallotsTrailer/BulletsOrBallotsTrailer.mp4,0027407,1936,7.0,2637.0,Crime|Drama|Film-Noir|Thriller
LIBELED LADY trailer,https://archive.org/download/LibeledLadyTrailer/LibeledLadyTrailer.mp4,0027884,1936,7.9,6988.0,Comedy|Romance
SWING TIME trailer,https://archive.org/download/SwingTimeTrailer/SwingTimeTrailer.mp4,0028333,1936,7.6,12182.0,Comedy|Musical|Romance
